Method,Accuracy,Precision,Recall,F1 Score,Time (s)
BoW + LR,0.979372197309417,1.0,0.8466666666666667,0.9169675090252708,0.1349468231201172
TF-IDF + LR,0.9506726457399103,0.9611650485436893,0.66,0.782608695652174,0.13353419303894043
N-Grams + SVM,0.9775784753363229,1.0,0.8333333333333334,0.9090909090909091,1.1403117179870605
